# HOMER Peaks
# Peak finding parameters:
# tag directory = IP_rep2_tags
#
# total peaks = 17988
# peak size = 300
# peaks found using tags on both strands
# minimum distance between peaks = 200
# fragment length = 158
# genome size = 2000000000
# Total tags = 25730812.0
# Total tags in peaks = 1107194.0
# Approximate IP efficiency = 4.30%
# tags per bp = 0.003174
# expected tags per peak = 0.952
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.556326e-07
# FDR tag threshold = 9.0
# number of putative peaks = 30501
#
# input tag directory = INPUT_rep2_tags
# Fold over input required = 1.50
# Poisson p-value over input required = 1.00e-03
# Putative peaks filtered by input = 12098
#
# size of region used for local filtering = 10000
# Fold over local region required = 1.50
# Poisson p-value over local region required = 1.00e-03
# Putative peaks filtered by local signal = 414
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = findPeaks IP_rep2_tags -style factor -F 1.5 -P 0.001 -L 1.5 -LP 0.001 -minDist 200 -size 300 -inputSize 600 -i INPUT_rep2_tags -o IP_rep2_vs_INPUT_rep2_peaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr8-536	chr8	127864078	127864378	+	19.4	0.891	12.000000	13.7	0.5	27.42	1.19e-14	2.25	2.76e-07	1.07
chr8-537	chr8	128326929	128327229	+	19.4	0.707	12.000000	13.7	0.5	27.42	1.19e-14	6.05	7.08e-23	0.98
chr8-671	chr8	140100531	140100831	+	19.4	0.723	11.000000	13.7	0.5	27.42	1.19e-14	6.91	2.62e-25	1.07
chr8-677	chr8	142594982	142595282	+	19.4	0.833	11.000000	13.7	1.0	13.71	6.36e-11	7.45	1.01e-26	1.07
chr8-443	chr8	142620127	142620427	+	19.4	0.827	13.000000	13.7	1.0	13.71	6.36e-11	8.29	9.36e-29	0.91
chr8-319	chr8	142739319	142739619	+	19.4	0.619	15.000000	13.7	1.0	13.71	6.36e-11	6.32	1.20e-23	0.79
chr8-198	chr8	143018937	143019237	+	19.4	0.883	19.000000	13.7	1.0	13.71	6.36e-11	3.29	1.40e-12	0.65
chr9-220	chr9	38046686	38046986	+	19.4	0.759	17.000000	13.7	1.0	13.71	6.36e-11	9.80	5.47e-32	0.69
chr9-922	chr9	73667660	73667960	+	19.4	0.941	9.000000	13.7	0.5	27.42	1.19e-14	32.99	7.93e-57	1.31
chr9-221	chr9	76394250	76394550	+	19.4	0.675	17.000000	13.7	1.0	13.71	6.36e-11	9.45	2.72e-31	0.69
chr9-339	chr9	78539934	78540234	+	19.4	0.906	14.000000	13.7	0.5	27.42	1.19e-14	21.85	3.33e-48	0.98
chr9-468	chr9	87775614	87775914	+	19.4	0.943	12.000000	13.7	0.5	27.42	1.19e-14	11.98	5.95e-36	0.98
chr9-562	chr9	89799186	89799486	+	19.4	0.964	11.000000	13.7	3.0	4.57	1.61e-05	8.29	9.36e-29	1.18
chr9-476	chr9	93111701	93112001	+	19.4	0.693	12.000000	13.7	3.0	4.57	1.61e-05	6.10	5.16e-23	0.98
chr9-206	chr9	94639551	94639851	+	19.4	0.571	18.000000	13.7	0.5	27.42	1.19e-14	6.27	1.67e-23	0.69
chr9-495	chr9	107284688	107284988	+	19.4	0.833	12.000000	13.7	0.5	27.42	1.19e-14	7.15	5.86e-26	1.07
chr9-304	chr9	112174483	112174783	+	19.4	0.824	15.000000	13.7	4.0	3.43	2.74e-04	8.00	4.42e-28	0.79
chr9-305	chr9	114804476	114804776	+	19.4	0.961	15.000000	13.7	1.0	13.71	6.36e-11	17.77	6.15e-44	0.79
chr9-191	chr9	122093208	122093508	+	19.4	0.895	19.000000	13.7	2.0	6.86	2.07e-07	11.23	1.14e-34	0.65
chr9-370	chr9	128656826	128657126	+	19.4	0.898	14.000000	13.7	2.0	6.86	2.07e-07	6.52	3.14e-24	0.84
chr9-371	chr9	129574863	129575163	+	19.4	0.820	14.000000	13.7	4.0	3.43	2.74e-04	8.04	3.55e-28	0.91
chr9-1187	chr9	136080968	136081268	+	19.4	0.612	9.000000	13.7	1.0	13.71	6.36e-11	8.69	1.16e-29	1.31
chr9-1193	chr9	136345791	136346091	+	19.4	0.810	9.000000	13.7	1.0	13.71	6.36e-11	6.44	5.23e-24	1.31
chr9-326	chr9	136996440	136996740	+	19.4	0.712	15.000000	13.7	2.0	6.86	2.07e-07	3.55	9.93e-14	0.84
chr9-387	chr9	137216667	137216967	+	19.4	0.810	14.000000	13.7	2.0	6.86	2.07e-07	4.44	2.03e-17	0.84
chr10-85	chr10	20531252	20531552	+	19.4	0.727	20.000000	13.7	0.5	27.42	1.19e-14	23.43	1.17e-49	0.62
chr10-236	chr10	22583675	22583975	+	19.4	0.852	13.000000	13.7	3.0	4.57	1.61e-05	12.53	7.35e-37	0.91
chr10-292	chr10	29812207	29812507	+	19.4	0.783	12.000000	13.7	1.0	13.71	6.36e-11	19.02	2.44e-45	1.07
chr10-300	chr10	75733351	75733651	+	19.4	0.836	12.000000	13.7	0.5	27.42	1.19e-14	18.80	4.24e-45	1.18
chr10-249	chr10	79981611	79981911	+	19.4	0.843	13.000000	13.7	2.0	6.86	2.07e-07	16.84	7.67e-43	0.91
chr10-214	chr10	87095508	87095808	+	19.4	0.750	14.000000	13.7	0.5	27.42	1.19e-14	18.16	2.15e-44	0.91
chr10-186	chr10	96090065	96090365	+	19.4	0.536	15.000000	13.7	2.0	6.86	2.07e-07	13.36	3.81e-38	0.79
chr10-160	chr10	103908282	103908582	+	19.4	0.800	16.000000	13.7	0.5	27.42	1.19e-14	23.10	2.33e-49	0.74
chr10-119	chr10	119178368	119178668	+	19.4	0.847	18.000000	13.7	0.5	27.42	1.19e-14	15.11	1.25e-40	0.65
chr11-253	chr11	18322249	18322549	+	19.4	0.935	14.000000	13.7	1.0	13.71	6.36e-11	14.43	1.05e-39	0.91
chr11-255	chr11	28107963	28108263	+	19.4	0.750	14.000000	13.7	0.5	27.42	1.19e-14	13.70	1.19e-38	0.91
chr11-437	chr11	64850982	64851282	+	19.4	0.600	11.000000	13.7	0.5	27.42	1.19e-14	5.50	3.87e-21	1.07
chr11-119	chr11	69891622	69891922	+	19.4	0.783	20.000000	13.7	1.0	13.71	6.36e-11	8.60	1.86e-29	0.62
chr11-235	chr11	70805929	70806229	+	19.4	0.729	15.000000	13.7	1.0	13.71	6.36e-11	6.76	6.48e-25	0.84
chr11-473	chr11	75814604	75814904	+	19.4	0.677	11.000000	13.7	0.5	27.42	1.19e-14	8.21	1.47e-28	1.07
chr11-812	chr11	118848626	118848926	+	19.4	0.827	9.000000	13.7	1.0	13.71	6.36e-11	12.63	5.14e-37	1.31
chr12-589	chr12	27623805	27624105	+	19.4	0.887	10.000000	13.7	0.5	27.42	1.19e-14	29.39	2.13e-54	1.18
chr12-797	chr12	33012331	33012631	+	19.4	0.863	9.000000	13.7	0.5	27.42	1.19e-14	11.71	1.63e-35	1.31
chr12-304	chr12	49567969	49568269	+	19.4	0.766	14.000000	13.7	3.0	4.57	1.61e-05	9.98	2.39e-32	0.91
chr12-305	chr12	49827455	49827755	+	19.4	0.727	14.000000	13.7	3.0	4.57	1.61e-05	6.39	7.32e-24	0.91
chr12-206	chr12	53079231	53079531	+	19.4	0.774	17.000000	13.7	3.0	4.57	1.61e-05	7.19	4.84e-26	0.74
chr12-311	chr12	53231945	53232245	+	19.4	0.759	14.000000	13.7	0.5	27.42	1.19e-14	3.95	1.78e-15	0.91
chr12-353	chr12	53845463	53845763	+	19.4	0.729	13.000000	13.7	1.0	13.71	6.36e-11	11.98	5.95e-36	0.98
chr12-161	chr12	55729067	55729367	+	19.4	0.770	19.000000	13.7	2.0	6.86	2.07e-07	6.19	2.72e-23	0.62
chr12-418	chr12	56635054	56635354	+	19.4	0.823	12.000000	13.7	2.0	6.86	2.07e-07	6.08	6.05e-23	1.07
chr12-272	chr12	57846511	57846811	+	19.4	0.652	15.000000	13.7	4.0	3.43	2.74e-04	4.84	6.81e-19	0.79
chr12-185	chr12	63843708	63844008	+	19.4	0.638	18.000000	13.7	2.0	6.86	2.07e-07	6.15	3.76e-23	0.69
chr12-357	chr12	64625354	64625654	+	19.4	0.700	13.000000	13.7	1.0	13.71	6.36e-11	9.13	1.27e-30	0.91
chr12-434	chr12	82686417	82686717	+	19.4	0.821	12.000000	13.7	3.0	4.57	1.61e-05	6.74	7.75e-25	1.07
chr12-243	chr12	103930336	103930636	+	19.4	0.892	16.000000	13.7	1.0	13.71	6.36e-11	10.64	1.34e-33	0.79
chr12-284	chr12	112381549	112381849	+	19.4	0.983	15.000000	13.7	0.5	27.42	1.19e-14	12.06	4.23e-36	0.84
chr12-1015	chr12	118302162	118302462	+	19.4	0.926	9.000000	13.7	1.0	13.71	6.36e-11	14.70	4.53e-40	1.31
chr12-552	chr12	121166428	121166728	+	19.4	0.909	11.000000	13.7	2.0	6.86	2.07e-07	12.16	3.00e-36	1.18
chr12-459	chr12	123671375	123671675	+	19.4	0.742	12.000000	13.7	0.5	27.42	1.19e-14	11.80	1.17e-35	0.98
chr13-102	chr13	27040015	27040315	+	19.4	0.657	14.000000	13.7	0.5	27.42	1.19e-14	11.31	8.31e-35	0.84
chr13-156	chr13	27533282	27533582	+	19.4	0.723	12.000000	13.7	2.0	6.86	2.07e-07	12.83	2.48e-37	1.07
chr13-87	chr13	41194378	41194678	+	19.4	0.865	15.000000	13.7	4.0	3.43	2.74e-04	55.75	5.82e-68	0.84
chr13-236	chr13	41513532	41513832	+	19.4	0.638	10.000000	13.7	1.0	13.71	6.36e-11	8.38	5.94e-29	1.18
chr13-202	chr13	50644281	50644581	+	19.4	0.946	11.000000	13.7	1.0	13.71	6.36e-11	23.10	2.33e-49	1.18
chr13-204	chr13	68711865	68712165	+	19.4	0.700	11.000000	13.7	0.5	27.42	1.19e-14	36.74	4.24e-59	1.07
chr14-318	chr14	40271545	40271845	+	19.4	0.843	13.000000	13.7	0.5	27.42	1.19e-14	14.97	1.92e-40	0.91
chr14-160	chr14	49868264	49868564	+	19.4	0.897	18.000000	13.7	2.0	6.86	2.07e-07	15.54	3.29e-41	0.69
chr14-396	chr14	51147192	51147492	+	19.4	0.780	12.000000	13.7	2.0	6.86	2.07e-07	15.70	2.09e-41	1.07
chr14-513	chr14	64938567	64938867	+	19.4	0.847	11.000000	13.7	1.0	13.71	6.36e-11	11.71	1.63e-35	1.18
chr14-667	chr14	65255793	65256093	+	19.4	0.571	10.000000	13.7	1.0	13.71	6.36e-11	5.71	8.02e-22	1.18
chr14-682	chr14	69574703	69575003	+	19.4	0.907	10.000000	13.7	2.0	6.86	2.07e-07	11.00	2.93e-34	1.18
chr14-194	chr14	70809694	70809994	+	19.4	0.850	17.000000	13.7	1.0	13.71	6.36e-11	13.94	5.38e-39	0.74
chr14-911	chr14	75136057	75136357	+	19.4	0.902	9.000000	13.7	3.0	4.57	1.61e-05	15.85	1.32e-41	1.31
chr14-228	chr14	77799937	77800237	+	19.4	0.708	16.000000	13.7	2.0	6.86	2.07e-07	8.69	1.16e-29	0.84
chr14-933	chr14	78022098	78022398	+	19.4	0.635	9.000000	13.7	1.0	13.71	6.36e-11	9.34	4.58e-31	1.31
chr14-290	chr14	88824366	88824666	+	19.4	0.766	14.000000	13.7	1.0	13.71	6.36e-11	11.15	1.57e-34	0.98
chr14-436	chr14	96100634	96100934	+	19.4	0.900	12.000000	13.7	2.0	6.86	2.07e-07	1.85	5.16e-05	1.07
chr14-234	chr14	96502142	96502442	+	19.4	0.803	16.000000	13.7	0.5	27.42	1.19e-14	7.09	8.57e-26	0.79
chr14-364	chr14	100025225	100025525	+	19.4	0.800	13.000000	13.7	0.5	27.42	1.19e-14	8.88	4.41e-30	0.91
chr14-739	chr14	100430744	100431044	+	19.4	0.882	10.000000	13.7	0.5	27.42	1.19e-14	10.23	7.74e-33	1.18
chr14-368	chr14	100703896	100704196	+	19.4	0.662	13.000000	13.7	0.5	27.42	1.19e-14	5.79	4.44e-22	0.98
chr14-371	chr14	103078316	103078616	+	19.4	0.862	13.000000	13.7	2.0	6.86	2.07e-07	6.74	7.75e-25	0.91
chr14-1047	chr14	105159424	105159724	+	19.4	0.902	9.000000	13.7	1.0	13.71	6.36e-11	8.46	3.75e-29	1.31
chr14-593	chr14	105467208	105467508	+	19.4	0.638	11.000000	13.7	0.5	27.42	1.19e-14	4.65	3.48e-18	1.07
chr15-791	chr15	49873567	49873867	+	19.4	0.980	9.000000	13.7	2.0	6.86	2.07e-07	8.04	3.55e-28	1.31
chr15-607	chr15	50089356	50089656	+	19.4	0.980	10.000000	13.7	4.0	3.43	2.74e-04	11.31	8.31e-35	1.18
chr15-310	chr15	51801485	51801785	+	19.4	0.922	13.000000	13.7	1.0	13.71	6.36e-11	5.28	1.99e-20	0.91
chr15-482	chr15	52222565	52222865	+	19.4	0.732	11.000000	13.7	3.0	4.57	1.61e-05	8.29	9.36e-29	1.31
chr15-489	chr15	63157229	63157529	+	19.4	0.578	11.000000	13.7	2.0	6.86	2.07e-07	11.07	2.14e-34	1.07
chr15-189	chr15	69328747	69329047	+	19.4	0.792	17.000000	13.7	1.0	13.71	6.36e-11	13.94	5.38e-39	0.74
chr15-336	chr15	75368261	75368561	+	19.4	0.731	13.000000	13.7	2.0	6.86	2.07e-07	3.55	9.93e-14	0.98
chr15-961	chr15	77592027	77592327	+	19.4	0.812	9.000000	13.7	2.0	6.86	2.07e-07	6.49	3.72e-24	1.31
chr15-293	chr15	92882652	92882952	+	19.4	0.725	14.000000	13.7	1.0	13.71	6.36e-11	9.24	7.66e-31	0.91
chr16-1065	chr16	1141085	1141385	+	19.4	0.980	9.000000	13.7	0.5	27.42	1.19e-14	7.06	1.04e-25	1.31
chr16-1067	chr16	1272501	1272801	+	19.4	0.825	9.000000	13.7	2.0	6.86	2.07e-07	5.08	9.48e-20	1.47
chr16-267	chr16	1900438	1900738	+	19.4	0.518	18.000000	13.7	4.0	3.43	2.74e-04	5.84	3.29e-22	0.69
chr16-149	chr16	2267765	2268065	+	19.4	0.806	24.000000	13.7	4.0	3.43	2.74e-04	5.17	4.99e-20	0.54
chr16-1099	chr16	3081179	3081479	+	19.4	0.647	9.000000	13.7	0.5	27.42	1.19e-14	14.43	1.05e-39	1.31
chr16-578	chr16	4369005	4369305	+	19.4	0.964	12.000000	13.7	3.0	4.57	1.61e-05	4.77	1.23e-18	0.98
chr16-301	chr16	4802208	4802508	+	19.4	0.811	17.000000	13.7	2.0	6.86	2.07e-07	6.36	8.65e-24	0.74
chr16-871	chr16	11172792	11173092	+	19.4	0.980	10.000000	13.7	1.0	13.71	6.36e-11	8.33	7.46e-29	1.18
chr16-877	chr16	12610057	12610357	+	19.4	0.903	10.000000	13.7	0.5	27.42	1.19e-14	8.33	7.46e-29	1.31
chr16-516	chr16	14564439	14564739	+	19.4	0.656	13.000000	13.7	4.0	3.43	2.74e-04	8.65	1.47e-29	0.91
chr16-334	chr16	14629983	14630283	+	19.4	0.806	16.000000	13.7	2.0	6.86	2.07e-07	8.55	2.35e-29	0.79
chr16-351	chr16	31073197	31073497	+	19.4	0.797	16.000000	13.7	3.0	4.57	1.61e-05	6.36	8.65e-24	0.74
chr16-530	chr16	67529158	67529458	+	19.4	0.563	13.000000	13.7	1.0	13.71	6.36e-11	6.39	7.32e-24	0.98
chr16-636	chr16	79372570	79372870	+	19.4	0.796	12.000000	13.7	1.0	13.71	6.36e-11	20.46	7.52e-47	0.98
chr16-780	chr16	81711608	81711908	+	19.4	0.814	11.000000	13.7	1.0	13.71	6.36e-11	7.03	1.25e-25	1.18
chr16-650	chr16	85480771	85481071	+	19.4	0.718	12.000000	13.7	1.0	13.71	6.36e-11	7.00	1.51e-25	0.98
chr16-487	chr16	89102249	89102549	+	19.4	0.882	14.000000	13.7	2.0	6.86	2.07e-07	5.27	2.27e-20	0.84
chr16-1027	chr16	89502612	89502912	+	19.4	0.803	10.000000	13.7	1.0	13.71	6.36e-11	8.12	2.29e-28	1.31
chr17-2370	chr17	3635524	3635824	+	19.4	0.632	12.000000	13.7	1.0	13.71	6.36e-11	11.31	8.31e-35	0.98
chr17-1198	chr17	5468956	5469256	+	19.4	0.526	18.000000	13.7	2.0	6.86	2.07e-07	18.37	1.26e-44	0.65
chr17-3024	chr17	7012345	7012645	+	19.4	0.741	10.000000	13.7	1.0	13.71	6.36e-11	10.71	9.92e-34	1.18
chr17-2101	chr17	7484058	7484358	+	19.4	0.809	13.000000	13.7	0.5	27.42	1.19e-14	10.10	1.37e-32	0.91
chr17-3463	chr17	9017224	9017524	+	19.4	0.912	9.000000	13.7	0.5	27.42	1.19e-14	11.47	4.37e-35	1.47
chr17-2110	chr17	19377815	19378115	+	19.4	0.831	13.000000	13.7	0.5	27.42	1.19e-14	12.34	1.49e-36	0.91
chr17-2390	chr17	32444348	32444648	+	19.4	0.870	12.000000	13.7	0.5	27.42	1.19e-14	28.87	5.09e-54	0.98
chr17-2736	chr17	57672181	57672481	+	19.4	0.807	11.000000	13.7	0.5	27.42	1.19e-14	6.60	1.87e-24	1.07
chr17-2130	chr17	58008084	58008384	+	19.4	0.649	13.000000	13.7	0.5	27.42	1.19e-14	3.82	6.27e-15	0.98
chr17-1962	chr17	59565206	59565506	+	19.4	0.851	14.000000	13.7	4.0	3.43	2.74e-04	5.43	6.74e-21	0.91
chr17-1420	chr17	60204923	60205223	+	19.4	0.671	17.000000	13.7	4.0	3.43	2.74e-04	3.28	1.61e-12	0.69
chr17-3324	chr17	62678310	62678610	+	19.4	0.750	10.000000	13.7	2.0	6.86	2.07e-07	4.23	1.32e-16	1.31
chr17-2960	chr17	66705901	66706201	+	19.4	0.815	11.000000	13.7	1.0	13.71	6.36e-11	9.80	5.47e-32	1.18
chr17-3896	chr17	66850187	66850487	+	19.4	0.706	9.000000	13.7	1.0	13.71	6.36e-11	7.09	8.57e-26	1.31
chr17-2979	chr17	73795645	73795945	+	19.4	0.982	11.000000	13.7	1.0	13.71	6.36e-11	10.71	9.92e-34	1.07
chr17-3982	chr17	80506211	80506511	+	19.4	0.922	9.000000	13.7	1.0	13.71	6.36e-11	22.77	4.60e-49	1.31
chr18-98	chr18	11500527	11500827	+	19.4	0.980	10.000000	13.7	0.5	27.42	1.19e-14	28.36	1.20e-53	1.18
chr18-45	chr18	35290177	35290477	+	19.4	0.962	14.000000	13.7	0.5	27.42	1.19e-14	25.26	3.17e-51	0.84
chr19-155	chr19	2525001	2525301	+	19.4	0.781	17.000000	13.7	0.5	27.42	1.19e-14	7.63	3.66e-27	0.74
chr19-86	chr19	3557533	3557833	+	19.4	0.907	22.000000	13.7	0.5	27.42	1.19e-14	20.73	4.10e-47	0.56
chr19-239	chr19	3718369	3718669	+	19.4	0.806	14.000000	13.7	3.0	4.57	1.61e-05	8.83	5.62e-30	0.91
chr19-245	chr19	13172328	13172628	+	19.4	0.962	14.000000	13.7	0.5	27.42	1.19e-14	6.88	3.15e-25	0.91
chr19-248	chr19	14502647	14502947	+	19.4	0.941	14.000000	13.7	4.0	3.43	2.74e-04	8.74	9.11e-30	0.84
chr19-351	chr19	16145282	16145582	+	19.4	0.767	12.000000	13.7	1.0	13.71	6.36e-11	7.45	1.01e-26	0.98
chr19-253	chr19	35211809	35212109	+	19.4	0.983	14.000000	13.7	1.0	13.71	6.36e-11	10.43	3.25e-33	0.91
chr19-189	chr19	37932353	37932653	+	19.4	0.708	16.000000	13.7	2.0	6.86	2.07e-07	11.15	1.57e-34	0.79
chr19-256	chr19	38321637	38321937	+	19.4	0.947	14.000000	13.7	2.0	6.86	2.07e-07	9.80	5.47e-32	0.91
chr19-460	chr19	41776781	41777081	+	19.4	0.945	11.000000	13.7	1.0	13.71	6.36e-11	8.69	1.16e-29	1.18
chr19-637	chr19	52336030	52336330	+	19.4	0.719	10.000000	13.7	1.0	13.71	6.36e-11	18.16	2.15e-44	1.18
chr20-2908	chr20	19757425	19757725	+	19.4	0.847	13.000000	13.7	1.0	13.71	6.36e-11	7.32	2.23e-26	0.98
chr20-2911	chr20	31612860	31613160	+	19.4	0.817	13.000000	13.7	1.0	13.71	6.36e-11	3.61	5.22e-14	0.91
chr20-2650	chr20	34661844	34662144	+	19.4	0.836	14.000000	13.7	0.5	27.42	1.19e-14	18.80	4.24e-45	0.84
chr20-2229	chr20	40506630	40506930	+	19.4	0.922	16.000000	13.7	0.5	27.42	1.19e-14	14.31	1.59e-39	0.74
chr20-3550	chr20	41017668	41017968	+	19.4	0.767	11.000000	13.7	1.0	13.71	6.36e-11	5.61	1.65e-21	1.07
chr20-3555	chr20	42218883	42219183	+	19.4	0.733	11.000000	13.7	0.5	27.42	1.19e-14	7.15	5.86e-26	1.18
chr20-1883	chr20	45791703	45792003	+	19.4	0.766	18.000000	13.7	3.0	4.57	1.61e-05	8.60	1.86e-29	0.74
chr20-2100	chr20	48171722	48172022	+	19.4	0.966	17.000000	13.7	3.0	4.57	1.61e-05	2.06	3.01e-06	0.74
chr20-2747	chr20	48403415	48403715	+	19.4	0.727	14.000000	13.7	4.0	3.43	2.74e-04	2.53	8.64e-09	0.84
chr20-4162	chr20	48465494	48465794	+	19.4	0.681	10.000000	13.7	3.0	4.57	1.61e-05	2.12	1.56e-06	1.31
chr20-2303	chr20	48473943	48474243	+	19.4	0.720	16.000000	13.7	1.0	13.71	6.36e-11	2.41	3.98e-08	0.79
chr20-2523	chr20	48786025	48786325	+	19.4	0.657	15.000000	13.7	4.0	3.43	2.74e-04	2.46	2.11e-08	0.79
chr20-2531	chr20	48920016	48920316	+	19.4	0.675	15.000000	13.7	2.0	6.86	2.07e-07	2.09	2.21e-06	0.84
chr20-4241	chr20	49681581	49681881	+	19.4	0.747	10.000000	13.7	2.0	6.86	2.07e-07	7.55	5.51e-27	1.31
chr20-4896	chr20	50379593	50379893	+	19.4	0.830	9.000000	13.7	0.5	27.42	1.19e-14	3.13	8.44e-12	1.47
chr20-3354	chr20	50626047	50626347	+	19.4	0.844	12.000000	13.7	3.0	4.57	1.61e-05	3.93	2.14e-15	0.98
chr20-2778	chr20	50661605	50661905	+	19.4	0.587	14.000000	13.7	3.0	4.57	1.61e-05	4.74	1.56e-18	0.91
chr20-4286	chr20	51744173	51744473	+	19.4	0.712	10.000000	13.7	4.0	3.43	2.74e-04	2.84	2.13e-10	1.18
chr20-3824	chr20	54327309	54327609	+	19.4	0.775	11.000000	13.7	3.0	4.57	1.61e-05	1.79	1.06e-04	1.07
chr20-2832	chr20	54333815	54334115	+	19.4	0.710	14.000000	13.7	3.0	4.57	1.61e-05	1.74	2.12e-04	0.91
chr20-4367	chr20	54527671	54527971	+	19.4	0.532	10.000000	13.7	4.0	3.43	2.74e-04	1.62	1.00e-03	1.31
chr20-3464	chr20	56343992	56344292	+	19.4	0.717	12.000000	13.7	2.0	6.86	2.07e-07	8.25	1.17e-28	1.07
chr20-3906	chr20	57038310	57038610	+	19.4	0.791	11.000000	13.7	1.0	13.71	6.36e-11	4.75	1.38e-18	1.18
chr20-3175	chr20	57461102	57461402	+	19.4	0.769	13.000000	13.7	1.0	13.71	6.36e-11	4.97	2.28e-19	0.98
chr20-5149	chr20	57514517	57514817	+	19.4	0.926	9.000000	13.7	2.0	6.86	2.07e-07	4.65	3.48e-18	1.31
chr20-3477	chr20	57561764	57562064	+	19.4	0.673	12.000000	13.7	4.0	3.43	2.74e-04	4.65	3.48e-18	1.07
chr20-2884	chr20	57693920	57694220	+	19.4	0.811	14.000000	13.7	4.0	3.43	2.74e-04	1.69	3.80e-04	0.84
chr20-5167	chr20	57723707	57724007	+	19.4	0.926	9.000000	13.7	3.0	4.57	1.61e-05	4.73	1.75e-18	1.31
chr20-1131	chr20	58389050	58389350	+	19.4	0.656	25.000000	13.7	2.0	6.86	2.07e-07	4.65	3.48e-18	0.47
chr20-3493	chr20	59012287	59012587	+	19.4	0.887	12.000000	13.7	0.5	27.42	1.19e-14	3.73	1.63e-14	1.18
chr20-2636	chr20	59826157	59826457	+	19.4	0.852	15.000000	13.7	3.0	4.57	1.61e-05	5.61	1.65e-21	0.79
chr20-5234	chr20	60086996	60087296	+	19.4	0.657	9.000000	13.7	1.0	13.71	6.36e-11	6.19	2.72e-23	1.31
chr20-3494	chr20	60258537	60258837	+	19.4	0.943	12.000000	13.7	1.0	13.71	6.36e-11	4.36	4.26e-17	0.98
chr20-3501	chr20	63222683	63222983	+	19.4	0.719	12.000000	13.7	0.5	27.42	1.19e-14	4.91	3.73e-19	0.98
chr21-100	chr21	29002677	29002977	+	19.4	0.758	13.000000	13.7	1.0	13.71	6.36e-11	17.77	6.15e-44	0.91
chr21-143	chr21	40340418	40340718	+	19.4	0.946	11.000000	13.7	1.0	13.71	6.36e-11	4.24	1.19e-16	1.18
chr22-127	chr22	45916547	45916847	+	19.4	0.915	11.000000	13.7	1.0	13.71	6.36e-11	11.89	8.35e-36	1.18
chrX-146	chrX	101390785	101391085	+	19.4	0.941	11.000000	13.7	1.0	13.71	6.36e-11	14.43	1.05e-39	1.07
chrX-147	chrX	102720463	102720763	+	19.4	0.887	11.000000	13.7	1.0	13.71	6.36e-11	23.10	2.33e-49	1.07
chrX-86	chrX	153702995	153703295	+	19.4	0.738	14.000000	13.7	0.5	27.42	1.19e-14	10.43	3.25e-33	0.84
chr1-391	chr1	1074281	1074581	+	19.0	0.459	16.000000	13.4	1.0	13.44	6.36e-11	3.39	8.20e-13	0.74
chr1-979	chr1	9843528	9843828	+	19.0	0.810	11.000000	13.4	2.0	6.72	2.07e-07	15.23	5.12e-40	1.07
chr1-987	chr1	17232998	17233298	+	19.0	0.911	11.000000	13.4	0.5	26.88	1.19e-14	5.72	1.93e-21	1.07
chr1-992	chr1	24266469	24266769	+	19.0	0.844	11.000000	13.4	1.0	13.44	6.36e-11	13.09	5.10e-37	1.18
chr1-396	chr1	31181500	31181800	+	19.0	0.906	16.000000	13.4	2.0	6.72	2.07e-07	15.09	7.94e-40	0.74
chr1-1800	chr1	35506079	35506379	+	19.0	0.929	9.000000	13.4	0.5	26.88	1.19e-14	20.85	2.53e-46	1.47
chr1-1009	chr1	36305952	36306252	+	19.0	0.622	11.000000	13.4	1.0	13.44	6.36e-11	7.27	9.16e-26	1.07
chr1-657	chr1	45686388	45686688	+	19.0	0.772	13.000000	13.4	0.5	26.88	1.19e-14	10.85	2.38e-33	0.98
chr1-1028	chr1	48004232	48004532	+	19.0	0.980	11.000000	13.4	0.5	26.88	1.19e-14	20.05	1.54e-45	1.07
chr1-468	chr1	100430301	100430601	+	19.0	0.920	15.000000	13.4	0.5	26.88	1.19e-14	45.27	2.77e-62	0.79
chr1-1072	chr1	107250488	107250788	+	19.0	0.708	11.000000	13.4	3.0	4.48	1.61e-05	3.48	3.28e-13	1.18
chr1-1929	chr1	109213656	109213956	+	19.0	0.786	9.000000	13.4	3.0	4.48	1.61e-05	10.03	7.94e-32	1.31
chr1-1416	chr1	110383382	110383682	+	19.0	0.738	10.000000	13.4	2.0	6.72	2.07e-07	11.91	3.65e-35	1.31
chr1-1091	chr1	110746589	110746889	+	19.0	0.840	11.000000	13.4	1.0	13.44	6.36e-11	11.82	5.11e-35	1.07
chr1-1432	chr1	111991588	111991888	+	19.0	0.676	10.000000	13.4	2.0	6.72	2.07e-07	2.63	3.79e-09	1.18
chr1-1117	chr1	114105705	114106005	+	19.0	0.712	11.000000	13.4	1.0	13.44	6.36e-11	3.59	1.08e-13	1.07
chr1-1122	chr1	114136270	114136570	+	19.0	0.717	11.000000	13.4	4.0	3.36	2.74e-04	3.42	6.06e-13	1.07
